URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,9,0,0.9999998889,0.0322580644,51.77777778,39.78494624,36.62508961,51.77777778,111,467,2.329749104,3,7.121863799
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,23,7,0.5333333156,0.04934210518,31.25641026,30.92105263,24.87098516,31.25641026,188,1220,2.152960526,9,6.629934211
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,15,2,0.7647058374,0.05501618105,46.27272727,33.33333333,31.84242424,46.27272727,103,510,2.25566343,3,6.919093851
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,29,11,0.4499999888,0.07366482491,28.53333333,51.19705341,31.8921547,28.53333333,278,857,2.600368324,6,7.651933702
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,6,0,0.9999998333,0.02214022132,38.5,38.00738007,30.60295203,38.5,103,464,2.335793358,3,7.04797048
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,9,0,0.9999998889,0.0322580644,51.77777778,39.78494624,36.62508961,51.77777778,111,467,2.329749104,3,7.121863799
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,23,7,0.5333333156,0.04934210518,31.25641026,30.92105263,24.87098516,31.25641026,188,1220,2.152960526,9,6.629934211
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,15,2,0.7647058374,0.05501618105,46.27272727,33.33333333,31.84242424,46.27272727,103,510,2.25566343,3,6.919093851
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,29,11,0.4499999888,0.07366482491,28.53333333,51.19705341,31.8921547,28.53333333,278,857,2.600368324,6,7.651933702
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,72,21,0.5483870909,0.0722610722,21.18446602,48.01864802,27.68124562,21.18446602,618,2207,2.528360528,3,7.530691531
Netclan20241027,https://insights.blackcoffer.com/enhancing-model-accuracy-from-58-to-over-90-strategies-for-improving-predictive-performance/,23,6,0.5862068763,0.0644444443,30.8,45.55555556,30.54222222,30.8,205,771,2.533333333,3,7.475555556
Netclan20241028,https://insights.blackcoffer.com/securing-sensitive-financial-data-with-privacy-preserving-machine-learning-for-predictive-analytics/,31,2,0.8787878522,0.05989110697,31.44827586,50.45372051,32.76079855,31.44827586,278,913,2.624319419,8,7.735027223
Netclan20241029,https://insights.blackcoffer.com/enhancing-data-collection-for-research-institutions-addressing-survey-fatigue-and-incorporating-verbal-communication-for-richer-insights/,25,5,0.6666666444,0.07556675044,32.57142857,42.82115869,30.1570349,32.57142857,170,685,2.473551637,6,7.59697733
Netclan20241030,https://insights.blackcoffer.com/analyzing-the-impact-of-positive-emotions-and-pandemic-severity-on-mental-health-and-resilience-among-entrepreneurs-insights-and-predictive-modeling/,17,5,0.5454545207,0.05459057058,38.05555556,46.40198511,33.78301627,38.05555556,187,686,2.52853598,7,7.605459057
Netclan20241031,https://insights.blackcoffer.com/dynamic-brand-centric-dashboard-for-automotive-dealerships-pdf-to-financial-insights-with-flask-react-architecture-and-aws-cloud-hosting/,67,25,0.4565217342,0.0896686159,24.34782609,42.78752437,26.85414018,24.34782609,439,1681,2.451267057,12,7.415204678
Netclan20241032,https://insights.blackcoffer.com/cloud-based-data-modeling-and-analysis-platform-with-drag-and-drop-interface-and-openai-api-integration-for-simulation-insights/,11,1,0.8333332639,0.03478260859,36.64705882,39.13043478,30.31099744,36.64705882,135,624,2.379710145,3,7.104347826
Netclan20241033,https://insights.blackcoffer.com/voter-profile-analysis-and-search-application-for-targeted-campaign-engagement-using-government-voter-data/,45,6,0.7647058674,0.07511045644,29.23076923,46.39175258,30.24900872,29.23076923,315,1141,2.549337261,17,7.634756996
Netclan20241034,https://insights.blackcoffer.com/bert-based-classification-of-individuals-and-organizations-into-two-categories-using-natural-language-processing/,9,3,0.4999999583,0.04301075253,36.84615385,37.6344086,29.79222498,36.84615385,105,480,2.383512545,5,7.222222222
Netclan20241035,https://insights.blackcoffer.com/comprehensive-analysis-of-solana-and-ethereum-contributors-using-github-api-with-comparative-study-of-1000-random-github-profiles/,18,4,0.6363636074,0.05714285699,42.64705882,40.25974026,33.16271963,42.64705882,155,726,2.405194805,5,7.137662338
Netclan20241036,https://insights.blackcoffer.com/powerbi-rest-api-fetching-dataflow-and-refresh-schedules-with-semantic-models/,24,6,0.59999998,0.07894736821,33.42105263,41.05263158,29.78947368,33.42105263,156,636,2.407894737,4,7.123684211
Netclan20241037,https://insights.blackcoffer.com/automated-job-data-import-and-management-solution-for-enhanced-efficiency/,14,1,0.8666666089,0.04518072276,37.33333333,35.54216867,29.1502008,37.33333333,118,561,2.310240964,4,6.912650602
Netclan20241038,https://insights.blackcoffer.com/data-analytics-and-optimization-solution-for-enhancing-renewable-energy-efficiency/,15,2,0.7647058374,0.04885057457,37.93333333,42.52873563,32.18482759,37.93333333,148,570,2.454022989,4,7.287356322
Netclan20241039,https://insights.blackcoffer.com/time-series-analysis-and-trend-forecasting-solution-for-predicting-news-trends/,15,2,0.7647058374,0.05014749248,37.13333333,36.28318584,29.36660767,37.13333333,123,558,2.297935103,4,7.088495575
Netclan20241040,https://insights.blackcoffer.com/advanced-data-visualization-solutions-for-monitoring-key-business-metrics-with-integrated-interactive-dashboards/,20,1,0.9047618617,0.06325301186,36.66666667,38.85542169,30.20883534,36.66666667,129,551,2.418674699,4,7.373493976
Netclan20241041,https://insights.blackcoffer.com/advanced-patient-data-analysis-solution-for-trend-identification-and-improved-healthcare-outcome/,24,2,0.8461538136,0.07624633409,37,36.6568915,29.4627566,37,125,556,2.381231672,4,7.302052786
Netclan20241042,https://insights.blackcoffer.com/anomaly-detection-and-analysis-for-enhanced-data-integrity-and-user-experience-on-bright-datas-website/,19,9,0.3571428444,0.07887323921,39.86666667,40,31.94666667,39.86666667,142,599,2.41971831,4,7.112676056
Netclan20241043,https://insights.blackcoffer.com/building-custom-tflite-models-and-benchmarking-on-voxl2-chips/,13,0,0.9999999231,0.03903903892,39.33333333,40.24024024,31.82942943,39.33333333,134,591,2.342342342,4,7.315315315
Netclan20241044,https://insights.blackcoffer.com/sports-prediction-model-for-multiple-sports-leagues/,21,2,0.8260869206,0.05168539314,40,37.52808989,31.01123596,40,167,761,2.301123596,3,7.217977528
Netclan20241045,https://insights.blackcoffer.com/efficient-coach-allocation-system-for-sports-coaching-organization/,18,4,0.6363636074,0.05459057058,34.85714286,35.48387097,28.13640553,34.85714286,143,733,2.337468983,6,7.17866005
Netclan20241046,https://insights.blackcoffer.com/data-studio-dashboard-with-a-data-pipeline-tool-synced-with-podio-using-custom-webhooks-and-google-cloud-function-2/,25,8,0.5151514995,0.06088560874,28.94117647,34.50184502,25.3772086,28.94117647,187,985,2.326568266,3,7.086715867
Netclan20241047,https://insights.blackcoffer.com/ai-driven-backend-for-audio-to-text-conversion-and-analytical-assessment-in-pharmaceutical-practice/,13,5,0.4444444198,0.0446650123,29.82608696,38.46153846,27.31505017,29.82608696,155,688,2.367245658,4,7.089330025
Netclan20241048,https://insights.blackcoffer.com/cloud-based-web-application-for-financial-data-processing-and-visualization-of-sp-500-metrics/,52,13,0.5999999908,0.1018808776,30.61764706,44.51410658,30.05270146,30.61764706,284,1042,2.559561129,7,7.655172414
Netclan20241049,https://insights.blackcoffer.com/department-wise-kpi-tracking-dashboard-with-technician-performance-analysis-for-atoz-dependable-service/,24,4,0.7142856888,0.04697986569,34.72727273,28.8590604,25.43453325,34.72727273,172,1147,2.112416107,3,6.622483221
Netclan20241050,https://insights.blackcoffer.com/steps-to-convert-a-node-js-api-to-python-for-aws-lambda-deployment/,24,6,0.59999998,0.07751937964,32.55,40.31007752,29.14403101,32.55,156,652,2.416020672,3,7.390180879
Netclan20241051,https://insights.blackcoffer.com/building-an-analytics-dashboard-with-a-pdf-parsing-pipeline-for-data-extraction/,45,25,0.2857142816,0.06386861308,18.78703704,38.86861314,23.06226007,18.78703704,426,2033,2.39689781,3,7.153284672
Netclan20241052,https://insights.blackcoffer.com/building-a-real-time-log-file-visualization-dashboard-in-kibana/,20,19,0.02564102498,0.0612244897,26.58139535,35.94976452,25.01246395,26.58139535,229,1145,2.290423862,4,7.053375196
Netclan20241053,https://insights.blackcoffer.com/analyzing-the-impact-of-female-ceo-appointments-on-company-stock-prices/,29,6,0.6571428384,0.05177514785,24.84313725,43.78698225,27.4520478,24.84313725,296,1275,2.49556213,8,7.463017751
Netclan20241054,https://insights.blackcoffer.com/ai-chatbot-using-llm-langchain-llama/,17,1,0.8888888395,0.04799999987,37.22222222,37.6,29.92888889,37.22222222,141,671,2.328,3,7.016
Netclan20241055,https://insights.blackcoffer.com/healthcare-ai-chatbot-using-llama-llm-langchain/,61,3,0.9062499858,0.08901251726,17.09090909,25.17385257,16.90590467,17.09090909,181,1505,1.995827538,32,6.33379694
Netclan20241056,https://insights.blackcoffer.com/ai-bot-audio-to-audio/,4,0,0.99999975,0.0216216215,78.5,38.37837838,46.75135135,78.5,71,315,2.335135135,2,7.021621622
Netclan20241057,https://insights.blackcoffer.com/recommendation-engine-for-insurance-sector-to-expand-business-in-the-rural-area/,15,2,0.7647058374,0.04775280885,48.23076923,36.51685393,33.89904927,48.23076923,130,628,2.31741573,4,7.056179775
Netclan20241058,https://insights.blackcoffer.com/data-from-crm-via-zapier-to-google-sheets-dynamic-to-powerbi/,17,1,0.8888888395,0.05901639325,35,33.44262295,27.37704918,35,102,526,2.203278689,6,6.626229508
Netclan20241059,https://insights.blackcoffer.com/data-warehouse-to-google-data-studio-looker-dashboard/,10,1,0.8181817438,0.03384615374,39.06666667,33.23076923,28.91897436,39.06666667,108,587,2.224615385,11,6.827692308
Netclan20241060,https://insights.blackcoffer.com/crm-monday-com-via-zapier-to-power-bi-dashboard/,17,4,0.6190475896,0.05849582156,24.85185185,30.64066852,22.19700815,24.85185185,110,672,2.139275766,18,6.493036212
Netclan20241061,https://insights.blackcoffer.com/monday-com-to-kpi-dashboard-to-manage-view-and-generate-insights-from-the-crm-data/,23,8,0.4838709521,0.08157894715,23.93333333,36.31578947,24.09964912,23.93333333,138,719,2.194736842,8,6.418421053
Netclan20241062,https://insights.blackcoffer.com/data-management-for-a-political-saas-application/,10,4,0.428571398,0.03598971713,25.30769231,35.73264781,24.41613605,25.30769231,139,665,2.249357326,7,6.822622108
Netclan20241063,https://insights.blackcoffer.com/google-lsa-ads-google-local-service-ads-etl-tools-and-dashboards/,11,2,0.6923076391,0.04220779207,40.61538462,34.09090909,29.88251748,40.61538462,105,529,2.25,3,6.811688312
Netclan20241064,https://insights.blackcoffer.com/ad-networks-marketing-campaign-data-dashboard-in-looker-google-data-studio/,9,1,0.79999992,0.04237288118,65.5,36.44067797,40.77627119,65.5,86,394,2.283898305,3,6.957627119
Netclan20241065,https://insights.blackcoffer.com/analytical-solution-for-a-tech-firm/,11,3,0.5714285306,0.06306306278,41.88888889,37.83783784,31.89069069,41.88888889,84,378,2.333333333,4,7.036036036
Netclan20241066,https://insights.blackcoffer.com/ai-solution-for-a-technology-information-and-internet-firm/,10,1,0.8181817438,0.04700854681,49.125,38.46153846,35.03461538,49.125,90,395,2.307692308,3,6.978632479
Netclan20241067,https://insights.blackcoffer.com/ai-and-nlp-based-solutions-to-automate-data-discovery-for-venture-capital-and-private-equity-principals/,13,2,0.7333332844,0.05016722391,42.41666667,40.13377926,33.02017837,42.41666667,120,510,2.294314381,3,6.97993311
Netclan20241068,https://insights.blackcoffer.com/an-etl-solution-for-an-internet-publishing-firm/,17,1,0.8888888395,0.0518731987,33.66666667,31.12391931,25.91623439,33.66666667,108,607,2.144092219,12,6.495677233
Netclan20241069,https://insights.blackcoffer.com/ai-based-algorithmic-trading-bot-for-forex/,10,2,0.6666666111,0.04958677665,39.8,35.53719008,30.13487603,39.8,86,399,2.301652893,3,6.892561983
Netclan20241070,https://insights.blackcoffer.com/equity-waterfalls-model-based-saas-application-for-real-estate-sector/,9,4,0.384615355,0.03661971821,27.04166667,37.46478873,25.80258216,27.04166667,133,650,2.270422535,10,6.901408451
Netclan20241071,https://insights.blackcoffer.com/ai-solutions-for-foreign-exchange-an-automated-algo-trading-tool/,14,3,0.6470587855,0.04314720801,41.23529412,36.04060914,30.9103613,41.23529412,142,702,2.223350254,6,6.784263959
Netclan20241072,https://insights.blackcoffer.com/ai-agent-development-and-deployment-in-jina-ai/,16,8,0.3333333194,0.08480565341,44.18181818,37.45583039,32.65505943,44.18181818,106,487,2.342756184,5,6.989399293
Netclan20241073,https://insights.blackcoffer.com/golden-record-a-knowledge-graph-database-approach-to-unfold-discovery-using-neo4j/,19,4,0.6521738847,0.06233062314,37.44444444,33.33333333,28.31111111,37.44444444,123,675,2.184281843,14,6.799457995
Netclan20241074,https://insights.blackcoffer.com/advanced-ai-for-trading-automation/,17,5,0.5454545207,0.05714285699,26.65384615,35.58441558,24.8953047,26.65384615,137,694,2.212987013,11,6.646753247
Netclan20241075,https://insights.blackcoffer.com/create-a-knowledge-graph-to-provide-real-time-analytics-recommendations-and-a-single-source-of-truth/,11,5,0.3749999766,0.06106870206,32.07142857,33.96946565,26.41635769,32.07142857,89,450,2.27480916,3,7.022900763
Netclan20241076,https://insights.blackcoffer.com/advanced-ai-for-thermal-person-detection/,10,1,0.8181817438,0.04954954933,40.88888889,36.03603604,30.76996997,40.88888889,80,369,2.283783784,4,6.95045045
Netclan20241077,https://insights.blackcoffer.com/advanced-ai-for-road-cam-threat-detection/,10,4,0.428571398,0.06008583665,43.33333333,36.90987124,32.09728183,43.33333333,86,391,2.313304721,3,7.034334764
Netclan20241078,https://insights.blackcoffer.com/advanced-ai-for-pedestrian-crossing-safety/,12,4,0.4999999688,0.06722689047,37.36363636,36.97478992,29.73537051,37.36363636,88,412,2.327731092,5,7.075630252
Netclan20241079,https://insights.blackcoffer.com/handgun-detection-using-yolo/,11,1,0.8333332639,0.05263157872,41.11111111,38.59649123,31.88304094,41.11111111,88,371,2.324561404,4,7.100877193
Netclan20241080,https://insights.blackcoffer.com/using-graph-technology-to-create-single-customer-view/,10,8,0.1111111049,0.06741573008,29.8,37.45318352,26.90127341,29.8,100,448,2.337078652,6,7.086142322
Netclan20241081,https://insights.blackcoffer.com/car-detection-in-satellite-images/,17,2,0.7894736427,0.05621301759,29.14285714,34.02366864,25.26661031,29.14285714,115,613,2.204142012,10,6.801775148
Netclan20241082,https://insights.blackcoffer.com/building-a-physics-informed-neural-network-for-circuit-evaluation/,16,4,0.59999997,0.05420054186,28.60869565,36.04336043,25.86082243,28.60869565,133,659,2.314363144,14,7.100271003
Netclan20241083,https://insights.blackcoffer.com/connecting-mongodb-database-to-power-bi-dashboard-dashboard-automation/,10,5,0.3333333111,0.03865979371,32.4,29.89690722,24.91876289,32.4,116,649,2.182989691,12,6.657216495
Netclan20241084,https://insights.blackcoffer.com/data-transformation/,26,13,0.3333333248,0.09263657935,27.35714286,33.49168646,24.33953173,27.35714286,141,767,2.206650831,13,6.596199525
Netclan20241085,https://insights.blackcoffer.com/e-commerce-store-analysis-purchase-behavior-ad-spend-conversion-traffic-etc/,11,1,0.8333332639,0.03191489353,29.45454545,33.24468085,25.07969052,29.45454545,125,649,2.252659574,16,6.843085106
Netclan20241086,https://insights.blackcoffer.com/kpi-dashboard-for-accountants/,13,0,0.9999999231,0.0380116958,37.8,37.42690058,30.09076023,37.8,128,568,2.280701754,8,6.967836257
Netclan20241087,https://insights.blackcoffer.com/return-on-advertising-spend-dashboard-marketing-automation-and-analytics-using-etl-and-dashboard/,29,4,0.7575757346,0.05392156854,28.05405405,41.66666667,27.88828829,28.05405405,255,1043,2.406862745,8,7.200980392
Netclan20241088,https://insights.blackcoffer.com/ranking-customer-behaviours-for-business-strategy/,10,2,0.6666666111,0.04081632639,65.375,34.01360544,39.75544218,65.375,100,524,2.255102041,4,6.802721088
Netclan20241089,https://insights.blackcoffer.com/algorithmic-trading-for-multiple-commodities-markets-like-forex-metals-energy-etc/,13,0,0.9999999231,0.03591160211,33.63157895,38.12154696,28.70125036,33.63157895,138,640,2.339779006,3,6.972375691
Netclan20241090,https://insights.blackcoffer.com/trading-bot-for-forex/,6,1,0.7142856122,0.03431372532,68.4,37.25490196,42.26196078,68.4,76,343,2.323529412,3,6.970588235
Netclan20241091,https://insights.blackcoffer.com/python-model-for-the-analysis-of-sector-specific-stock-etfs-for-investment-purposes%ef%bf%bc/,12,2,0.7142856633,0.04179104465,35.88235294,35.52238806,28.5618964,35.88235294,119,611,2.253731343,6,6.841791045
Netclan20241092,https://insights.blackcoffer.com/medical-classification/,12,2,0.7142856633,0.04347826073,35.26666667,33.54037267,27.52281573,35.26666667,108,530,2.273291925,7,6.860248447
Netclan20241093,https://insights.blackcoffer.com/design-develop-bert-question-answering-model-explanations-with-visualization/,6,0,0.9999998333,0.02597402586,54.14285714,37.22943723,36.54891775,54.14285714,86,380,2.354978355,4,7.16017316
Netclan20241094,https://insights.blackcoffer.com/design-and-develop-solution-to-anomaly-detection-classification-problems/,6,7,-0.07692307101,0.04868913839,35.91666667,37.45318352,29.34794007,35.91666667,100,432,2.382022472,7,6.988764045
Netclan20241095,https://insights.blackcoffer.com/an-etl-solution-for-currency-data-to-google-big-query/,6,12,-0.3333333148,0.05769230751,35.06666667,27.88461538,25.18051282,35.06666667,87,527,2.166666667,13,6.551282051
Netclan20241096,https://insights.blackcoffer.com/etl-and-mlops-infrastructure-for-blockchain-analytics/,6,0,0.9999998333,0.01775147924,57.2,36.68639053,37.55455621,57.2,124,573,2.25443787,2,6.875739645
Netclan20241097,https://insights.blackcoffer.com/an-agent-based-model-of-a-virtual-power-plant-vpp/,6,0,0.9999998333,0.03015075362,55.83333333,40.20100503,38.41373534,55.83333333,80,336,2.391959799,2,7.035175879
Netclan20241098,https://insights.blackcoffer.com/transform-api-into-sdk-library-and-widget/,15,1,0.8749999453,0.05947955368,65.28571429,38.28996283,41.43027084,65.28571429,103,458,2.319702602,3,6.862453532
